title;platform;genre;audience_score;critics_score;img
Green Frontier;netflix;crime;94;100;https://resizing.flixster.com/rNO9Er3WUWu6jAWhcpxuyCJJWWg=/206x305/v2/https://resizing.flixster.com/ZOGeQ9U08RC08mxCI4m7ViEqhPs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjU0NjMxNy53ZWJw
Longmire;netflix;crime;92;88;https://resizing.flixster.com/qtps7r38cO5W1zWuUryVCkhF5LY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9038828_b_v8_an.jpg
Khakee: The Bihar Chapter;netflix;crime;92;NA;https://resizing.flixster.com/kwW86lJ34yB2Rc0gqAPVZI2M4jE=/206x305/v2/https://resizing.flixster.com/hR95xqI8c-UOcPlnYwJ_Q_7QlgY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMDBlY2EwZTctODIyMC00OTkxLThiNDQtYjVkMDMxZmM4MDNmLmpwZw==
The Great Heist;netflix;crime;92;67;https://resizing.flixster.com/PKDB6MEjAjOfKfxPku71F1oBLXo=/206x305/v2/https://resizing.flixster.com/efA-CVfakrFa1vhISNffi_rqgbs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjczMzk2MS53ZWJw
Killer Ratings;netflix;crime;92;80;https://resizing.flixster.com/Uz2G-5ISqHMykEc7g5-qvaZxwvU=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16960390_b_v8_ab.jpg
Angel;amazon_prime;horror;89;87;https://resizing.flixster.com/oFYjgIbYy25SLcoKsDSqWNKwiNc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184543_b_v8_aa.jpg
Being Human;amazon_prime;horror;89;77;https://resizing.flixster.com/FUttU8XnErYYGW2Gg5xlU3BIFNg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8440717_b_v8_ad.jpg
Blood Drive;amazon_prime;horror;88;76;https://resizing.flixster.com/oLaIRfFCRPdKQivfrgPViuPUGHI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14020167_b_v8_ab.jpg
Dead Still;amazon_prime;horror;88;89;https://resizing.flixster.com/dt8frrtRJSZwYnrh01xkhdr7Skk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18219567_b_v8_ab.jpg
The Fades;amazon_prime;horror;88;82;https://resizing.flixster.com/gUXFUgRy_7_GvoccpIqThLLeNoY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8840832_b_v10_ad.jpg
